candidate_id,cohort,detector_id,energy_loss,event,hit_index,momentum_gev,pdg_id,sbt_qualifying,time_ns,track_id,x_cm,y_cm,z_cm
utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,225822,0.00027403797139413655,0,0,0.00176698753604006,22,False,168.1222686767578,-2,-203.77523803710938,132.28224182128906,8073.82470703125
utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,225822,0.00134196353610605,0,1,0.0017811092064199435,11,False,168.7167205810547,-2,-197.70558166503906,134.0343475341797,8080.19873046875
utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,225822,2.7305000571686833e-07,0,2,1.670721596390699e-05,11,False,168.5765838623047,-2,-200.99649047851562,133.7942352294922,8077.42041015625
utility-pilot-UA_d0p1_a04-pdg-13-03,genuine_nf_pilot,225822,0.00015071294910740107,0,3,0.00042040777713229377,11,False,168.5765838623047,-2,-200.99649047851562,133.7942352294922,8077.42041015625
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,210122,0.12779264152050018,0,0,246.26936530732533,-13,True,5.467405796051025,0,-70.56261444091797,12.586037635803223,3352.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220122,0.13066765666007996,0,1,246.08580579500355,-13,True,8.137035369873047,0,-72.85855102539062,13.076410293579102,3433.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220222,0.12778738141059875,0,2,245.92076912996768,-13,True,10.873414039611816,0,-75.18509674072266,13.569259643554688,3515.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220322,0.12612535059452057,0,3,245.78127082294554,-13,True,13.609786987304688,0,-77.506103515625,14.055218696594238,3597.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220422,0.1235593780875206,0,4,245.64364353790455,-13,True,16.346153259277344,0,-79.82504272460938,14.544316291809082,3679.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220522,0.12640000879764557,0,5,245.48846480263458,-13,True,19.082523345947266,0,-82.14025115966797,15.04248046875,3761.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220622,0.12424825131893158,0,6,245.33698864441035,-13,True,21.818885803222656,0,-84.45069885253906,15.545116424560547,3843.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220722,0.12906378507614136,0,7,245.1767642215621,-13,True,24.555248260498047,0,-86.76181030273438,16.050376892089844,3925.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220822,0.1304987370967865,0,8,245.01278009002317,-13,True,27.29161262512207,0,-89.0715103149414,16.55713653564453,4007.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,220922,0.12909440696239471,0,9,244.810927851914,-13,True,30.02797508239746,0,-91.37630462646484,17.06156349182129,4089.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221022,0.12346062064170837,0,10,244.6318752792345,-13,True,32.76432800292969,0,-93.67710876464844,17.563520431518555,4171.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221122,0.13011160492897034,0,11,244.44348213507322,-13,True,35.50068283081055,0,-95.9769515991211,18.066329956054688,4253.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221222,0.1231689304113388,0,12,244.037172719538,-13,True,38.23703384399414,0,-98.2757568359375,18.56680679321289,4335.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221322,0.1287728101015091,0,13,243.86207222980235,-13,True,40.973384857177734,0,-100.57328033447266,19.06066131591797,4417.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221422,0.1299341768026352,0,14,243.4803212772481,-13,True,43.70973205566406,0,-102.86536407470703,19.54217529296875,4499.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221522,0.12990853190422058,0,15,243.29233921663464,-13,True,46.446067810058594,0,-105.1537857055664,20.012630462646484,4581.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221622,0.12851953506469727,0,16,243.15068709775775,-13,True,49.182403564453125,0,-107.44478607177734,20.481172561645508,4663.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221722,0.13251399993896484,0,17,242.94035938161358,-13,True,51.91874313354492,0,-109.73931121826172,20.950191497802734,4745.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221822,0.12616761028766632,0,18,242.793622313267,-13,True,54.655086517333984,0,-112.0367660522461,21.419713973999023,4827.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,221922,0.1314208209514618,0,19,242.64363292728103,-13,True,57.39142990112305,0,-114.33897399902344,21.89462661743164,4909.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222022,0.1282014697790146,0,20,242.48377194948074,-13,True,60.127784729003906,0,-116.64603424072266,22.3761043548584,4991.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222122,0.13001768290996552,0,21,242.33476904547217,-13,True,62.864139556884766,0,-118.94880676269531,22.860218048095703,5073.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222222,0.12722918391227722,0,22,242.16341577915142,-13,True,65.6004867553711,0,-121.24243927001953,23.34483528137207,5155.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222322,0.12739311158657074,0,23,242.0153736971769,-13,True,68.33683013916016,0,-123.5298843383789,23.82879638671875,5237.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222422,0.13463367521762848,0,24,241.85904564125636,-13,True,71.07316589355469,0,-125.81546020507812,24.3121337890625,5319.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222522,0.12645424902439117,0,25,241.7053578622492,-13,True,73.80950164794922,0,-128.10191345214844,24.79738998413086,5401.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222622,0.13050271570682526,0,26,241.56443655780302,-13,True,76.54583740234375,0,-130.38909912109375,25.285097122192383,5483.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222722,0.12569573521614075,0,27,241.39991293346645,-13,True,79.28217315673828,0,-132.67922973632812,25.772676467895508,5565.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222822,0.12977077066898346,0,28,241.2388128518528,-13,True,82.01851654052734,0,-134.97203063964844,26.25917625427246,5647.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,222922,0.13145117461681366,0,29,241.08482369732468,-13,True,84.7548599243164,0,-137.26715087890625,26.746700286865234,5729.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223022,0.12938551604747772,0,30,240.8966579214676,-13,True,87.4912109375,0,-139.56280517578125,27.23456573486328,5811.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223122,0.13184607028961182,0,31,240.73619339728887,-13,True,90.22755432128906,0,-141.85533142089844,27.721784591674805,5893.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223222,0.13100992143154144,0,32,240.58516125873584,-13,True,92.96389770507812,0,-144.15171813964844,28.208463668823242,5975.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223322,0.13034366071224213,0,33,240.23020540079847,-13,True,95.70024871826172,0,-146.45721435546875,28.69721794128418,6057.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223422,0.1282225251197815,0,34,240.07584725242748,-13,True,98.43660736083984,0,-148.76446533203125,29.188459396362305,6139.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223522,0.12667067348957062,0,35,239.9328090234965,-13,True,101.17295837402344,0,-151.07119750976562,29.6828670501709,6221.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223622,0.1283562332391739,0,36,239.75140900927127,-13,True,103.90931701660156,0,-153.37799072265625,30.179933547973633,6303.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223722,0.12753936648368835,0,37,239.6055843461289,-13,True,106.64567565917969,0,-155.68154907226562,30.672683715820312,6385.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223822,0.12938176095485687,0,38,239.45963461033668,-13,True,109.38202667236328,0,-157.98475646972656,31.163780212402344,6467.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,223922,0.12936419248580933,0,39,238.9310034847125,-13,True,112.1183853149414,0,-160.29319763183594,31.65813636779785,6549.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224022,0.13176488876342773,0,40,238.73656198816855,-13,True,114.85474395751953,0,-162.60325622558594,32.15086364746094,6631.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224122,0.1299716681241989,0,41,238.54504213848867,-13,True,117.59110260009766,0,-164.9095916748047,32.64124298095703,6713.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224222,0.12985768914222717,0,42,238.39627921593058,-13,True,120.32746124267578,0,-167.21165466308594,33.129493713378906,6795.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224322,0.13397063314914703,0,43,238.24974402424706,-13,True,123.06381225585938,0,-169.5051727294922,33.620094299316406,6877.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224422,0.1248992308974266,0,44,238.046039382513,-13,True,125.8001480102539,0,-171.79458618164062,34.11358642578125,6959.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224522,0.12861031293869019,0,45,237.85376718505427,-13,True,128.53648376464844,0,-174.0828399658203,34.608707427978516,7041.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224622,0.12897531688213348,0,46,237.43163046047823,-13,True,131.2728271484375,0,-176.37200927734375,35.11225509643555,7123.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224722,0.1266333907842636,0,47,237.25425875488833,-13,True,134.00917053222656,0,-178.67147827148438,35.618438720703125,7205.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224822,0.13163849711418152,0,48,237.1109384258813,-13,True,136.7455291748047,0,-180.977294921875,36.12324523925781,7287.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,224922,0.12904870510101318,0,49,236.95031009555055,-13,True,139.4818878173828,0,-183.285888671875,36.62721252441406,7369.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225022,0.12918974459171295,0,50,236.78122842053784,-13,True,142.21826171875,0,-185.59600830078125,37.130245208740234,7451.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225122,0.12904514372348785,0,51,236.62597531665224,-13,True,144.95462036132812,0,-187.9055938720703,37.63591766357422,7533.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225222,0.13213935494422913,0,52,236.46838052102927,-13,True,147.69097900390625,0,-190.22189331054688,38.14159393310547,7615.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225322,0.12836198508739471,0,53,236.30891134697902,-13,True,150.42735290527344,0,-192.5435028076172,38.645286560058594,7697.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225422,0.1288589984178543,0,54,236.14197244892898,-13,True,153.16372680664062,0,-194.8628387451172,39.14431381225586,7779.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225522,0.13010144233703613,0,55,235.9754079545974,-13,True,155.9001007080078,0,-197.18014526367188,39.636009216308594,7861.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225622,0.1314389556646347,0,56,235.82901728658254,-13,True,158.63645935058594,0,-199.4987030029297,40.121360778808594,7943.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225722,0.1305101215839386,0,57,235.61167094278315,-13,True,161.37283325195312,0,-201.8166046142578,40.60000991821289,8025.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225822,0.12364042550325394,0,58,235.45582972939565,-13,True,164.10919189453125,0,-204.1297149658203,41.076839447021484,8107.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,225922,0.13428503274917603,0,59,235.2966647830417,-13,True,166.84555053710938,0,-206.44082641601562,41.5517692565918,8189.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,226022,0.1275240033864975,0,60,235.1416292467063,-13,True,169.5819091796875,0,-208.75338745117188,42.02288055419922,8271.75
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,226022,0.003000987460836768,0,61,0.0034746120338943753,11,False,172.02049255371094,-2,-209.68360900878906,42.24945068359375,8305.1953125
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,226022,0.0012038389686495066,0,62,0.0016369328206662995,11,False,171.93243408203125,-2,-209.6242218017578,42.2750358581543,8302.01953125
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,226022,0.0011532842181622982,0,63,0.0015838934492956114,11,False,171.6005859375,-2,-209.30044555664062,42.10838317871094,8292.037109375
afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,226022,0.0037314859218895435,0,64,0.005671529985786981,11,False,170.7405548095703,-2,-208.9689178466797,41.769927978515625,8266.974609375
